League,Season,Financial_Rank,Team,Market_Value_M_EUR
Serie A,2021-2022,12,Hellas Verona,162.98
Serie A,2021-2022,13,Udinese Calcio,142.3
Serie A,2021-2022,14,Cagliari Calcio,134.53
Serie A,2021-2022,15,UC Sampdoria,128.55
Serie A,2021-2022,16,FC Empoli,126.5
Serie A,2021-2022,17,Genoa CFC,121.28
Serie A,2021-2022,18,Venezia FC,80.98
Serie A,2021-2022,19,Spezia Calcio,78.5
Serie A,2021-2022,20,US Salernitana 1919,70.56
Serie A,2022-2023,1,SSC Napoli,654.08
Serie A,2022-2023,2,Inter Milan,567.55
Serie A,2022-2023,3,AC Milan,545.1
Serie A,2022-2023,4,Juventus FC,483.13
Serie A,2022-2023,5,AS Roma,361.38
Serie A,2022-2023,6,Atalanta BC,338.38
Serie A,2022-2023,7,SS Lazio,266.43
Serie A,2022-2023,8,ACF Fiorentina,258.8
Serie A,2022-2023,9,US Sassuolo,232.2
Serie A,2022-2023,10,Torino FC,197.19
Serie A,2022-2023,11,Udinese Calcio,188.86
Serie A,2022-2023,12,Bologna FC 1909,153.63
Serie A,2022-2023,13,AC Monza,135.7
Serie A,2022-2023,14,FC Empoli,125.53
Serie A,2022-2023,15,Hellas Verona,123.89
Serie A,2022-2023,16,US Salernitana 1919,118.35
Serie A,2022-2023,17,Spezia Calcio,115.81
Serie A,2022-2023,18,US Lecce,105.2
Serie A,2022-2023,19,US Cremonese,83.78
Serie A,2022-2023,20,UC Sampdoria,82.96
Serie A,2023-2024,1,Inter Milan,654.85
Serie A,2023-2024,2,AC Milan,571.41
Serie A,2023-2024,3,SSC Napoli,515
Serie A,2023-2024,4,Juventus FC,504.53
Serie A,2023-2024,5,Atalanta BC,436.05
Serie A,2023-2024,6,Bologna FC 1909,349.3
Serie A,2023-2024,7,AS Roma,340.4
Serie A,2023-2024,8,ACF Fiorentina,284.1
Serie A,2023-2024,9,Torino FC,232.73
Serie A,2023-2024,10,SS Lazio,225.45
Serie A,2023-2024,11,Genoa CFC,195.4
Serie A,2023-2024,12,Udinese Calcio,170.06
Serie A,2023-2024,13,AC Monza,143.43
Serie A,2023-2024,14,Hellas Verona,140.7
Serie A,2023-2024,15,US Sassuolo,139.54
Serie A,2023-2024,16,Frosinone Calcio,108.4
Serie A,2023-2024,17,US Lecce,107.73
Serie A,2023-2024,18,FC Empoli,102.33
Serie A,2023-2024,19,US Salernitana 1919,94.6
Serie A,2023-2024,20,Cagliari Calcio,92.23
Serie A,2024-2025,1,Inter Milan,741.85
Serie A,2024-2025,2,Juventus FC,628.73
Serie A,2024-2025,3,AC Milan,581.7
Serie A,2024-2025,4,Atalanta BC,501.2
Serie A,2024-2025,5,SSC Napoli,500.45
Serie A,2024-2025,6,AS Roma,390.3
Serie A,2024-2025,7,ACF Fiorentina,368.13
Serie A,2024-2025,8,Bologna FC 1909,340.65
Serie A,2024-2025,9,SS Lazio,294.9
Serie A,2024-2025,10,Torino FC,219.28
Serie A,2024-2025,11,Como 1907,203.43
Serie A,2024-2025,12,Udinese Calcio,198.9
Serie A,2024-2025,13,Genoa CFC,175.35
Serie A,2024-2025,14,Parma Calcio 1913,175.11
Serie A,2024-2025,15,US Lecce,113.43
Serie A,2024-2025,16,Hellas Verona,107.35
Serie A,2024-2025,17,FC Empoli,106.58
Serie A,2024-2025,18,AC Monza,95.83
Serie A,2024-2025,19,Venezia FC,95.6
Serie A,2024-2025,20,Cagliari Calcio,93.63
