Season,Season_Index,Team,Final_Standing,Wins,Losses,WinPercent,Payroll_Rank,Total_Cap_Allocations,Champion
2018-2019,4,Denver Nuggets,4,54,28,0.6585366,15,131854274,No
2018-2019,4,Houston Rockets,5,53,29,0.64634144,1,151594903,No
2018-2019,4,Portland Trail Blazers,5,53,29,0.64634144,7,137667430,No
2018-2019,4,Philadelphia 76ers,7,51,31,0.6219512,18,130102816,No
2018-2019,4,Utah Jazz,8,50,32,0.6097561,21,127212555,No
2018-2019,4,Boston Celtics,9,49,33,0.597561,24,119147447,No
2018-2019,4,Oklahoma City Thunder,9,49,33,0.597561,4,139719723,No
2018-2019,4,Indiana Pacers,11,48,34,0.58536583,27,114591944,No
2018-2019,4,San Antonio Spurs,11,48,34,0.58536583,10,136184793,No
2018-2019,4,LA Clippers,11,48,34,0.58536583,17,130154932,No
2018-2019,4,Orlando Magic,14,42,40,0.5121951,2,146546422,No
2018-2019,4,Brooklyn Nets,14,42,40,0.5121951,19,128264668,No
2018-2019,4,Detroit Pistons,16,41,41,0.5,11,136015378,No
2018-2019,4,Charlotte Hornets,17,39,43,0.47560975,20,127312849,No
2018-2019,4,Miami Heat,17,39,43,0.47560975,5,138759297,No
2018-2019,4,Sacramento Kings,17,39,43,0.47560975,26,116865503,No
2018-2019,4,Los Angeles Lakers,20,37,45,0.4512195,22,122723507,No
2018-2019,4,Minnesota Timberwolves,21,36,46,0.4390244,8,136248239,No
2018-2019,4,Memphis Grizzlies,22,33,49,0.40243903,14,132844749,No
2018-2019,4,New Orleans Pelicans,22,33,49,0.40243903,25,117626046,No
2018-2019,4,Dallas Mavericks,22,33,49,0.40243903,9,136193863,No
2018-2019,4,Washington Wizards,25,32,50,0.3902439,13,134529412,No
2018-2019,4,Atlanta Hawks,26,29,53,0.35365853,29,112342555,No
2018-2019,4,Chicago Bulls,27,22,60,0.2682927,28,113208742,No
2018-2019,4,Cleveland Cavaliers,28,19,63,0.23170732,12,135275863,No
2018-2019,4,Phoenix Suns,28,19,63,0.23170732,23,121137310,No
2018-2019,4,New York Knicks,30,17,65,0.20731707,30,110055762,No
2019-2020,5,Milwaukee Bucks,1,56,17,0.7671233,14,133224345,No
2019-2020,5,Toronto Raptors,2,53,19,0.7361111,7,143726386,No
2019-2020,5,Los Angeles Lakers,3,52,19,0.73239434,9,138544305,Yes
2019-2020,5,LA Clippers,4,49,23,0.6805556,10,137405301,No
2019-2020,5,Boston Celtics,5,48,24,0.6666667,17,130767745,No
2019-2020,5,Denver Nuggets,6,46,27,0.63013697,16,131820534,No
2019-2020,5,Indiana Pacers,7,45,28,0.6164383,20,129005732,No
2019-2020,5,Houston Rockets,8,44,28,0.6111111,19,129533390,No
2019-2020,5,Oklahoma City Thunder,8,44,28,0.6111111,29,104570165,No
2019-2020,5,Utah Jazz,8,44,28,0.6111111,8,138998838,No
2019-2020,5,Miami Heat,11,44,29,0.60273975,11,135572405,No
2019-2020,5,Philadelphia 76ers,12,43,30,0.5890411,6,147787869,No
2019-2020,5,Dallas Mavericks,13,43,32,0.5733333,23,125815404,No
2019-2020,5,Brooklyn Nets,14,35,37,0.4861111,2,168550487,No
2019-2020,5,Portland Trail Blazers,15,35,39,0.47297296,12,135448164,No
2019-2020,5,Memphis Grizzlies,16,34,39,0.46575344,13,134245326,No
2019-2020,5,Phoenix Suns,16,34,39,0.46575344,18,130285572,No
2019-2020,5,Orlando Magic,18,33,40,0.4520548,24,118898403,No
2019-2020,5,San Antonio Spurs,19,32,39,0.45070422,5,150150620,No
2019-2020,5,Sacramento Kings,20,31,41,0.43055555,28,106822079,No
2019-2020,5,New Orleans Pelicans,21,30,42,0.41666666,15,132616252,No
2019-2020,5,Charlotte Hornets,22,23,42,0.35384616,27,107134070,No
2019-2020,5,Washington Wizards,23,25,47,0.3472222,3,160772292,No
2019-2020,5,Chicago Bulls,24,22,43,0.33846155,21,128065350,No
2019-2020,5,New York Knicks,25,21,45,0.3181818,30,101969879,No
2019-2020,5,Detroit Pistons,26,20,46,0.3030303,26,115013466,No
2019-2020,5,Atlanta Hawks,27,20,47,0.29850745,25,116695055,No
2019-2020,5,Minnesota Timberwolves,28,19,45,0.296875,4,159195461,No
2019-2020,5,Cleveland Cavaliers,29,19,46,0.2923077,22,126527288,No
2019-2020,5,Golden State Warriors,30,15,50,0.23076923,1,175825052,No
2020-2021,6,Utah Jazz,1,52,20,0.7222222,11,145969091,No
2020-2021,6,Phoenix Suns,2,51,21,0.7083333,18,133742329,No
2020-2021,6,Philadelphia 76ers,3,49,23,0.6805556,7,156429129,No
2020-2021,6,Brooklyn Nets,4,48,24,0.6666667,2,172820410,No
2020-2021,6,Denver Nuggets,5,47,25,0.6527778,12,138963942,No
2020-2021,6,LA Clippers,5,47,25,0.6527778,3,166162398,No
2020-2021,6,Milwaukee Bucks,7,46,26,0.6388889,6,160663369,Yes
2020-2021,6,Dallas Mavericks,8,42,30,0.5833333,10,146734486,No
2020-2021,6,Los Angeles Lakers,8,42,30,0.5833333,5,160861720,No
2020-2021,6,Portland Trail Blazers,8,42,30,0.5833333,23,129526823,No
2020-2021,6,Atlanta Hawks,11,41,31,0.5694444,20,132773339,No
2020-2021,6,New York Knicks,11,41,31,0.5694444,28,118396240,No
2020-2021,6,Miami Heat,13,40,32,0.5555556,13,138804919,No
2020-2021,6,Golden State Warriors,14,39,33,0.5416667,1,184024769,No
2020-2021,6,Memphis Grizzlies,15,38,34,0.5277778,29,115994102,No
2020-2021,6,Boston Celtics,16,36,36,0.5,16,135425801,No
2020-2021,6,Washington Wizards,17,34,38,0.4722222,8,155635311,No
2020-2021,6,Indiana Pacers,17,34,38,0.4722222,15,136089712,No
2020-2021,6,Charlotte Hornets,19,33,39,0.45833334,27,120990744,No
2020-2021,6,San Antonio Spurs,19,33,39,0.45833334,26,126419926,No
2020-2021,6,Chicago Bulls,21,31,41,0.43055555,14,136118673,No
2020-2021,6,New Orleans Pelicans,21,31,41,0.43055555,17,134663536,No
2020-2021,6,Sacramento Kings,21,31,41,0.43055555,21,132576503,No
2020-2021,6,Toronto Raptors,24,27,45,0.375,9,149439621,No
2020-2021,6,Minnesota Timberwolves,25,23,49,0.31944445,4,165734220,No
2020-2021,6,Cleveland Cavaliers,26,22,50,0.30555555,19,133138401,No
2020-2021,6,Oklahoma City Thunder,26,22,50,0.30555555,30,90513233,No
2020-2021,6,Orlando Magic,28,21,51,0.29166666,25,126992175,No
2020-2021,6,Detroit Pistons,29,20,52,0.2777778,24,128989131,No
2020-2021,6,Houston Rockets,30,17,55,0.2361111,22,132065764,No
2021-2022,7,Phoenix Suns,1,64,18,0.7804878,8,175806777,No
2021-2022,7,Memphis Grizzlies,2,56,26,0.68292683,27,127756781,No
2021-2022,7,Miami Heat,3,53,29,0.64634144,18,152766041,No
2021-2022,7,Golden State Warriors,3,53,29,0.64634144,1,199320856,Yes
2021-2022,7,Dallas Mavericks,5,52,30,0.63414633,5,180090371,No
2021-2022,7,Boston Celtics,6,51,31,0.6219512,7,176795764,No
2021-2022,7,Milwaukee Bucks,6,51,31,0.6219512,4,181849255,No
2021-2022,7,Philadelphia 76ers,6,51,31,0.6219512,12,164391836,No
2021-2022,7,Utah Jazz,9,49,33,0.597561,23,147162541,No
2021-2022,7,Toronto Raptors,10,48,34,0.58536583,21,149260166,No
2021-2022,7,Denver Nuggets,10,48,34,0.58536583,10,169601210,No
2021-2022,7,Chicago Bulls,12,46,36,0.5609756,17,153093665,No
2021-2022,7,Minnesota Timberwolves,12,46,36,0.5609756,9,174906722,No
2021-2022,7,Brooklyn Nets,14,44,38,0.5365854,11,164774911,No
2021-2022,7,Cleveland Cavaliers,14,44,38,0.5365854,15,154561446,No
2021-2022,7,Atlanta Hawks,16,43,39,0.5243902,22,149133740,No
2021-2022,7,Charlotte Hornets,16,43,39,0.5243902,24,146049640,No
2021-2022,7,LA Clippers,18,42,40,0.5121951,2,193025318,No
2021-2022,7,New York Knicks,19,37,45,0.4512195,20,150263571,No
2021-2022,7,New Orleans Pelicans,20,36,46,0.4390244,16,154090191,No
2021-2022,7,Washington Wizards,21,35,47,0.42682928,3,183801576,No
2021-2022,7,San Antonio Spurs,22,34,48,0.41463414,30,101649048,No
2021-2022,7,Los Angeles Lakers,23,33,49,0.40243903,6,180067292,No
2021-2022,7,Sacramento Kings,24,30,52,0.36585367,14,154815256,No
2021-2022,7,Portland Trail Blazers,25,27,55,0.3292683,19,151480955,No
2021-2022,7,Indiana Pacers,26,25,57,0.30487806,29,122145349,No
2021-2022,7,Oklahoma City Thunder,27,24,58,0.29268292,13,155437627,No
2021-2022,7,Detroit Pistons,28,23,59,0.2804878,28,127673493,No
2021-2022,7,Orlando Magic,29,22,60,0.2682927,25,139801010,No
2021-2022,7,Houston Rockets,30,20,62,0.24390244,26,138296534,No
2022-2023,8,Milwaukee Bucks,1,58,24,0.70731705,7,188285708,No
2022-2023,8,Boston Celtics,2,57,25,0.69512194,6,188759360,No
2022-2023,8,Philadelphia 76ers,3,54,28,0.6585366,10,181909301,No
2022-2023,8,Denver Nuggets,4,53,29,0.64634144,8,184751085,Yes
2022-2023,8,Cleveland Cavaliers,5,51,31,0.6219512,15,168250835,No
2022-2023,8,Memphis Grizzlies,5,51,31,0.6219512,17,162996801,No
2022-2023,8,Sacramento Kings,7,48,34,0.58536583,23,148693550,No
2022-2023,8,New York Knicks,8,47,35,0.5731707,18,162956334,No
2022-2023,8,Brooklyn Nets,9,45,37,0.5487805,21,157982129,No
2022-2023,8,Phoenix Suns,9,45,37,0.5487805,4,195220617,No
2022-2023,8,Miami Heat,11,44,38,0.5365854,11,180754950,No
2022-2023,8,LA Clippers,11,44,38,0.5365854,2,202080521,No
2022-2023,8,Golden State Warriors,11,44,38,0.5365854,1,224848124,No
2022-2023,8,Los Angeles Lakers,14,43,39,0.5243902,9,181975999,No
2022-2023,8,Minnesota Timberwolves,15,42,40,0.5121951,3,198497741,No
2022-2023,8,New Orleans Pelicans,15,42,40,0.5121951,12,176969502,No
2022-2023,8,Atlanta Hawks,17,41,41,0.5,22,156139798,No
2022-2023,8,Toronto Raptors,17,41,41,0.5,19,161887358,No
2022-2023,8,Chicago Bulls,19,40,42,0.4878049,16,166348969,No
2022-2023,8,Oklahoma City Thunder,19,40,42,0.4878049,20,160502705,No
2022-2023,8,Dallas Mavericks,21,38,44,0.46341464,13,175321021,No
2022-2023,8,Utah Jazz,22,37,45,0.4512195,30,131757411,No
2022-2023,8,Indiana Pacers,23,35,47,0.42682928,24,146679278,No
2022-2023,8,Washington Wizards,23,35,47,0.42682928,5,189901033,No
2022-2023,8,Orlando Magic,25,34,48,0.41463414,28,139355784,No
2022-2023,8,Portland Trail Blazers,26,33,49,0.40243903,14,171538887,No
2022-2023,8,Charlotte Hornets,27,27,55,0.3292683,26,141036011,No
2022-2023,8,Houston Rockets,28,22,60,0.2682927,25,145302009,No
2022-2023,8,San Antonio Spurs,28,22,60,0.2682927,27,140908582,No
2022-2023,8,Detroit Pistons,30,17,65,0.20731707,29,136419412,No
2023-2024,9,Boston Celtics,1,64,18,0.7804878,6,197048229,Yes
2023-2024,9,Oklahoma City Thunder,2,57,25,0.69512194,26,166001694,No
2023-2024,9,Denver Nuggets,2,57,25,0.69512194,8,192786656,No
2023-2024,9,Minnesota Timberwolves,4,56,26,0.68292683,1,236725861,No
2023-2024,9,LA Clippers,5,51,31,0.6219512,17,174670238,No
2023-2024,9,New York Knicks,6,50,32,0.6097561,9,188877651,No
2023-2024,9,Dallas Mavericks,6,50,32,0.6097561,10,187147472,No
2023-2024,9,Milwaukee Bucks,8,49,33,0.597561,7,195746447,No
2023-2024,9,New Orleans Pelicans,8,49,33,0.597561,11,182966321,No
2023-2024,9,Phoenix Suns,8,49,33,0.597561,2,228464502,No
2023-2024,9,Cleveland Cavaliers,11,48,34,0.58536583,15,178212347,No
2023-2024,9,Orlando Magic,12,47,35,0.5731707,29,152959238,No
2023-2024,9,Philadelphia 76ers,12,47,35,0.5731707,22,170340647,No
2023-2024,9,Indiana Pacers,12,47,35,0.5731707,21,171232577,No
2023-2024,9,Los Angeles Lakers,12,47,35,0.5731707,4,200785985,No
2023-2024,9,Miami Heat,16,46,36,0.5609756,12,179350729,No
2023-2024,9,Sacramento Kings,16,46,36,0.5609756,20,171370782,No
2023-2024,9,Golden State Warriors,16,46,36,0.5609756,5,199518342,No
2023-2024,9,Houston Rockets,19,41,41,0.5,19,173496349,No
2023-2024,9,Chicago Bulls,20,39,43,0.47560975,23,168006873,No
2023-2024,9,Atlanta Hawks,21,36,46,0.4390244,18,174418704,No
2023-2024,9,Brooklyn Nets,22,32,50,0.3902439,13,178836132,No
2023-2024,9,Utah Jazz,23,31,51,0.37804878,28,154114022,No
2023-2024,9,Memphis Grizzlies,24,27,55,0.3292683,24,167814933,No
2023-2024,9,Toronto Raptors,25,25,57,0.30487806,14,178496026,No
2023-2024,9,San Antonio Spurs,26,22,60,0.2682927,27,162809380,No
2023-2024,9,Charlotte Hornets,27,21,61,0.25609756,25,167423486,No
2023-2024,9,Portland Trail Blazers,27,21,61,0.25609756,16,176848446,No
2023-2024,9,Washington Wizards,29,15,67,0.18292683,3,211677970,No
2023-2024,9,Detroit Pistons,30,14,68,0.17073171,30,141808220,No
2024-2025,10,Oklahoma City Thunder,1,68,14,0.8292683,23,188057857,Yes
2024-2025,10,Cleveland Cavaliers,2,64,18,0.7804878,4,226181970,No
2024-2025,10,Boston Celtics,3,61,21,0.74390244,18,194526296,No
2024-2025,10,Houston Rockets,4,52,30,0.63414633,10,201412484,No
2024-2025,10,New York Knicks,5,51,31,0.6219512,7,209823691,No
2024-2025,10,Indiana Pacers,6,50,32,0.6097561,22,191900207,No
2024-2025,10,Los Angeles Lakers,6,50,32,0.6097561,6,211399497,No
2024-2025,10,Denver Nuggets,6,50,32,0.6097561,11,200743895,No
2024-2025,10,LA Clippers,6,50,32,0.6097561,14,199054230,No
2024-2025,10,Minnesota Timberwolves,10,49,33,0.597561,3,228841297,No
2024-2025,10,Milwaukee Bucks,11,48,34,0.58536583,27,182099997,No
2024-2025,10,Golden State Warriors,11,48,34,0.58536583,1,234222725,No
2024-2025,10,Memphis Grizzlies,11,48,34,0.58536583,29,157650285,No
2024-2025,10,Detroit Pistons,14,44,38,0.5365854,21,193082507,No
2024-2025,10,Orlando Magic,15,41,41,0.5,19,194063614,No
2024-2025,10,Atlanta Hawks,16,40,42,0.4878049,20,193255583,No
2024-2025,10,Sacramento Kings,16,40,42,0.4878049,5,213853369,No
2024-2025,10,Chicago Bulls,18,39,43,0.47560975,24,187673271,No
2024-2025,10,Dallas Mavericks,18,39,43,0.47560975,12,200372430,No
2024-2025,10,Miami Heat,20,37,45,0.4512195,15,197952062,No
2024-2025,10,Phoenix Suns,21,36,46,0.4390244,8,207796989,No
2024-2025,10,Portland Trail Blazers,21,36,46,0.4390244,16,195706145,No
2024-2025,10,San Antonio Spurs,23,34,48,0.41463414,25,183990669,No
2024-2025,10,Toronto Raptors,24,30,52,0.36585367,17,194966020,No
2024-2025,10,Brooklyn Nets,25,26,56,0.31707317,30,150960352,No
2024-2025,10,Philadelphia 76ers,26,24,58,0.29268292,13,199898431,No
2024-2025,10,New Orleans Pelicans,27,21,61,0.25609756,9,207453274,No
2024-2025,10,Charlotte Hornets,28,19,63,0.23170732,26,183806358,No
2024-2025,10,Washington Wizards,29,18,64,0.2195122,2,232033397,No
2024-2025,10,Utah Jazz,30,17,65,0.20731707,28,173117343,No
